"","AGEGR","window.start","window.end","sero.lower","sero.upper","week.start","week.end"
"1",0,2020-07-29,2020-08-11,0,1.84,31,32
"2",0,2020-08-12,2020-08-27,1.06,9.44,33,35
"3",0,2020-08-25,2020-09-10,2.36,9.99,34,37
"4",0,2020-09-09,2020-09-22,0.88,8.66,37,38
"5",0,2020-09-22,2020-10-08,0,6.08,38,41
"6",0,2020-10-07,2020-10-21,0.87,10.05,41,43
"7",0,2020-11-01,2020-11-13,1.35,6.13,44,46
"8",0,2020-11-19,2020-11-23,NA,NA,47,47
"9",0,2020-11-23,2020-12-11,2.49,13.7,47,50
"10",0,2020-12-11,2020-12-15,NA,NA,50,50
"11",0,2020-12-23,2021-01-08,0.71,10.15,52,54
"12",0,2021-01-08,2021-01-22,5.97,13.3,54,56
"13",0,2021-01-22,2021-02-06,5.29,12.12,56,58
"14",0,2021-02-04,2021-02-20,7.94,16,58,60
"15",1,2020-07-29,2020-08-11,1.27,7.07,31,32
"16",1,2020-08-12,2020-08-27,1.67,5.79,33,35
"17",1,2020-08-25,2020-09-10,1.95,10.8,34,37
"18",1,2020-09-09,2020-09-22,0.51,4.46,37,38
"19",1,2020-09-22,2020-10-08,0.82,4.42,38,41
"20",1,2020-10-07,2020-10-21,0,1.82,41,43
"21",1,2020-11-01,2020-11-13,2.16,5.89,44,46
"22",1,2020-11-19,2020-11-23,NA,NA,47,47
"23",1,2020-11-23,2020-12-11,3.22,8.1,47,50
"24",1,2020-12-11,2020-12-15,2.13,7.78,50,50
"25",1,2020-12-23,2021-01-08,2.89,8.44,52,54
"26",1,2021-01-08,2021-01-22,7.27,15.71,54,56
"27",1,2021-01-22,2021-02-06,8.09,15.39,56,58
"28",1,2021-02-04,2021-02-20,5.06,11.5,58,60
"29",2,2020-07-29,2020-08-11,0,2.34,31,32
"30",2,2020-08-12,2020-08-27,0.22,3.58,33,35
"31",2,2020-08-25,2020-09-10,0.71,4.76,34,37
"32",2,2020-09-09,2020-09-22,0,2.68,37,38
"33",2,2020-09-22,2020-10-08,0.92,5.7,38,41
"34",2,2020-10-07,2020-10-21,0.22,2.52,41,43
"35",2,2020-11-01,2020-11-13,1.99,5.09,44,46
"36",2,2020-11-19,2020-11-23,1.01,5.41,47,47
"37",2,2020-11-23,2020-12-11,2.74,7.83,47,50
"38",2,2020-12-11,2020-12-15,1.14,5.14,50,50
"39",2,2020-12-23,2021-01-08,2.24,8.15,52,54
"40",2,2021-01-08,2021-01-22,3.89,10.35,54,56
"41",2,2021-01-22,2021-02-06,5.47,11.89,56,58
"42",2,2021-02-04,2021-02-20,2.16,7.44,58,60
"43",3,2020-07-29,2020-08-11,NA,NA,31,32
"44",3,2020-08-12,2020-08-27,0.13,2.77,33,35
"45",3,2020-08-25,2020-09-10,0.16,3.57,34,37
"46",3,2020-09-09,2020-09-22,0.68,4.75,37,38
"47",3,2020-09-22,2020-10-08,0,1.82,38,41
"48",3,2020-10-07,2020-10-21,0.8,5.44,41,43
"49",3,2020-11-01,2020-11-13,0.72,2.92,44,46
"50",3,2020-11-19,2020-11-23,NA,NA,47,47
"51",3,2020-11-23,2020-12-11,1.22,4.61,47,50
"52",3,2020-12-11,2020-12-15,0.58,3.78,50,50
"53",3,2020-12-23,2021-01-08,2.66,8.06,52,54
"54",3,2021-01-08,2021-01-22,2.24,7.71,54,56
"55",3,2021-01-22,2021-02-06,2.39,7.6,56,58
"56",3,2021-02-04,2021-02-20,2.37,6.4,58,60
